fold_id,train_acc,train_f1_weighted,train_f1_macro,val_acc,val_f1_weighted,val_f1_macro,test_acc,test_f1_weighted,test_f1_macro,test_loss,test_F1_Wake,test_F1_N1,test_F1_N2,test_F1_N3,test_F1_REM
fold_0,0.8423,0.836,0.7727,0.8853,0.8809,0.8279,0.8461,0.8428,0.7291,0.443,0.9034,0.1524,0.8592,0.953,0.7773
fold_1,0.8771,0.8733,0.808,0.816,0.8165,0.7756,0.8587,0.8562,0.7823,0.3521,0.9005,0.3827,0.9261,0.9083,0.794
fold_2,0.8684,0.8678,0.8077,0.778,0.7813,0.6872,0.7943,0.7954,0.7586,0.4907,0.8307,0.5292,0.873,0.8165,0.7435
fold_3,0.8871,0.8846,0.832,0.8579,0.8582,0.7922,0.7333,0.7372,0.6508,0.8443,0.8361,0.3077,0.712,0.7116,0.6866
fold_4,0.8735,0.8736,0.819,0.8848,0.8819,0.8264,0.8423,0.844,0.7922,0.414,0.9187,0.5294,0.8025,0.9048,0.8053
fold_5,0.8454,0.8409,0.7759,0.8394,0.8302,0.7332,0.8519,0.8369,0.7516,0.3955,0.8625,0.2459,0.9206,0.9376,0.7916
fold_6,0.8618,0.8615,0.806,0.875,0.8729,0.781,0.8188,0.8183,0.7239,0.4522,0.83,0.2671,0.9101,0.8256,0.7868
fold_7,0.873,0.8683,0.8069,0.8847,0.8759,0.7862,0.8779,0.8707,0.7757,0.3574,0.9644,0.2825,0.8508,0.9289,0.8517
fold_8,0.8646,0.8563,0.7862,0.9182,0.9183,0.8409,0.8592,0.8487,0.7698,0.3948,0.9547,0.3057,0.8652,0.8776,0.8457
fold_9,0.8875,0.8818,0.8225,0.8388,0.8337,0.7445,0.9182,0.92,0.8474,0.217,0.974,0.5279,0.9038,0.928,0.9032
fold_10,0.9134,0.9112,0.8656,0.8388,0.8378,0.7624,0.8416,0.843,0.7607,0.4737,0.9018,0.3288,0.8749,0.8901,0.8079
fold_11,0.8763,0.8699,0.8045,0.874,0.8761,0.791,0.8397,0.8347,0.7459,0.4628,0.9229,0.3106,0.8682,0.8235,0.8045
fold_12,0.8848,0.8834,0.831,0.8866,0.8897,0.8134,0.8694,0.8735,0.7841,0.3381,0.957,0.4186,0.8922,0.7947,0.8581
fold_13,0.8804,0.875,0.8108,0.8937,0.8891,0.8177,0.8638,0.866,0.7635,0.3714,0.8681,0.5217,0.9276,0.6596,0.8405
fold_14,0.8978,0.8959,0.848,0.9225,0.9218,0.8522,0.8889,0.8877,0.8159,0.2893,0.9441,0.45,0.9243,0.8678,0.893
fold_15,0.88,0.8758,0.8167,0.9021,0.8954,0.8451,0.9234,0.9216,0.8472,0.2144,0.9805,0.5778,0.9341,0.8804,0.8632
fold_16,0.805,0.7987,0.7278,0.8179,0.8026,0.7405,0.8553,0.8471,0.7892,0.3855,0.8974,0.4262,0.8908,0.937,0.7944
fold_17,0.9002,0.8966,0.8376,0.8402,0.828,0.8072,0.7919,0.7807,0.7082,0.5868,0.8146,0.2927,0.8385,0.8947,0.7004
fold_18,0.8654,0.8568,0.7793,0.8959,0.8945,0.8528,0.8166,0.7959,0.7742,0.4995,0.9509,0.4211,0.8494,0.8384,0.8111
fold_19,0.8551,0.8548,0.7971,0.9054,0.9076,0.8021,0.858,0.8625,0.8258,0.3302,0.918,0.5772,0.8652,0.9068,0.8615
