fold_id,train_acc,train_f1_weighted,train_f1_macro,val_acc,val_f1_weighted,val_f1_macro,test_acc,test_f1_weighted,test_f1_macro,test_loss,test_F1_Wake,test_F1_N1,test_F1_N2,test_F1_N3,test_F1_REM
fold_0,0.8398,0.8326,0.7645,0.8822,0.8758,0.8152,0.8635,0.863,0.7597,0.3855,0.8942,0.2523,0.8763,0.9294,0.8463
fold_1,0.8434,0.8342,0.7597,0.8172,0.8094,0.7444,0.8681,0.8633,0.7996,0.3583,0.9223,0.4649,0.9187,0.8655,0.8263
fold_2,0.8881,0.8829,0.8236,0.7697,0.7699,0.654,0.807,0.7981,0.7346,0.4801,0.826,0.4711,0.8939,0.6949,0.7873
fold_3,0.8532,0.8501,0.7852,0.8551,0.8566,0.7975,0.6825,0.6853,0.5802,1.0197,0.6874,0.1495,0.7386,0.7668,0.5589
fold_4,0.8907,0.8883,0.8364,0.8791,0.8716,0.8124,0.8487,0.8516,0.7906,0.4118,0.9202,0.4655,0.8202,0.896,0.8508
fold_5,0.8925,0.8903,0.8386,0.8337,0.8322,0.7476,0.8599,0.8499,0.7804,0.3811,0.8979,0.369,0.909,0.9141,0.8119
fold_6,0.8642,0.8634,0.8077,0.8764,0.8724,0.7782,0.8281,0.8307,0.7374,0.4178,0.8506,0.3476,0.9125,0.7647,0.8116
fold_7,0.8367,0.8377,0.7812,0.8669,0.869,0.7946,0.838,0.8416,0.7332,0.4488,0.9541,0.25,0.8102,0.8293,0.8225
fold_8,0.8739,0.8655,0.7967,0.9211,0.9216,0.8581,0.8471,0.8369,0.7607,0.4105,0.9533,0.3019,0.8525,0.8489,0.8472
fold_9,0.8974,0.8941,0.8432,0.8207,0.8183,0.7275,0.9189,0.9208,0.8627,0.2242,0.9782,0.6184,0.8951,0.9167,0.9053
fold_10,0.8741,0.8689,0.8072,0.8422,0.8391,0.7487,0.823,0.8199,0.7286,0.4949,0.8821,0.2857,0.8628,0.8156,0.797
fold_11,0.8433,0.8375,0.7717,0.8705,0.8739,0.7834,0.829,0.8266,0.7434,0.4577,0.9258,0.3333,0.865,0.8307,0.7621
fold_12,0.8889,0.8859,0.8345,0.867,0.8791,0.7512,0.8636,0.8669,0.793,0.3834,0.9759,0.48,0.8783,0.778,0.8527
fold_13,0.874,0.87,0.8084,0.8739,0.8682,0.787,0.8292,0.8454,0.7031,0.4605,0.8661,0.5819,0.8889,0.328,0.8506
fold_14,0.8637,0.863,0.8084,0.9228,0.9231,0.8524,0.876,0.873,0.7962,0.324,0.9431,0.4569,0.9113,0.7733,0.8966
fold_15,0.9013,0.8985,0.8502,0.8897,0.882,0.8293,0.9249,0.9237,0.8524,0.2344,0.9824,0.5961,0.9341,0.8894,0.8598
fold_16,0.8591,0.8553,0.7912,0.8217,0.8023,0.7182,0.887,0.8823,0.8372,0.3352,0.9124,0.5528,0.9155,0.9295,0.8759
fold_17,0.8348,0.8292,0.7539,0.823,0.8084,0.7821,0.7585,0.7397,0.6608,0.6865,0.8178,0.1696,0.8126,0.8316,0.6725
fold_18,0.8584,0.8503,0.7724,0.8969,0.8976,0.8613,0.7886,0.7659,0.7406,0.5595,0.9412,0.3636,0.8249,0.7863,0.7869
fold_19,0.8738,0.8715,0.815,0.8896,0.8915,0.7797,0.8667,0.8699,0.8298,0.2981,0.9286,0.5778,0.8783,0.904,0.8601
